category_id,period,papers
C0056,2022Q3,142
C0254,2022Q3,349
C0416,2022Q3,130
C0004,2022Q3,145
C0519,2022Q3,8
C0080,2022Q3,266
C0195,2022Q3,145
C0145,2022Q3,105
C0066,2022Q3,100
C0177,2022Q3,122
C0362,2022Q3,332
C0272,2022Q3,107
C0282,2022Q3,116
C0290,2022Q3,167
C0493,2022Q3,248
C0221,2022Q3,181
C0103,2022Q3,143
C0143,2022Q3,186
C0009,2022Q3,314
C0007,2022Q3,105
C0132,2022Q3,203
C0727,2022Q3,109
C0564,2022Q3,52
C0090,2022Q3,3
C0161,2022Q3,54
C0155,2022Q3,372
C0465,2022Q3,150
C0109,2022Q3,201
C0275,2022Q3,182
C0455,2022Q3,163
C0672,2022Q3,51
C0414,2022Q3,139
C0354,2022Q3,196
C0186,2022Q3,160
C0609,2022Q3,9
C0302,2022Q3,116
C0630,2022Q3,43
C0238,2022Q3,51
C0472,2022Q3,182
C0048,2022Q3,131
C0060,2022Q3,497
C0403,2022Q3,35
C0287,2024Q1,134
C0088,2022Q3,115
C0675,2022Q3,60
C0667,2022Q3,31
C0129,2022Q3,219
C0242,2022Q3,17
C0473,2024Q1,357
C0011,2022Q3,119
C0543,2022Q3,12
C0006,2022Q3,6
C0544,2022Q3,3
C0208,2022Q3,69
C0484,2022Q3,120
C0203,2022Q3,93
C0408,2022Q3,140
C0105,2022Q3,183
C0055,2022Q3,94
C0552,2022Q3,75
C0253,2022Q3,137
C0368,2022Q3,70
C0646,2022Q3,10
C0474,2022Q3,128
C0086,2022Q3,167
C0307,2022Q3,144
C0370,2022Q3,12
C0035,2022Q3,12
C0020,2022Q3,169
C0576,2022Q3,18
C0566,2022Q3,10
C0252,2022Q3,102
C0458,2022Q3,69
C0292,2022Q3,40
C0065,2022Q3,48
C0160,2022Q3,24
C0681,2022Q3,12
C0364,2022Q3,73
C0246,2022Q3,32
C0525,2022Q3,11
C0356,2022Q3,6
C0469,2022Q3,63
C0089,2022Q4,123
C0527,2022Q3,27
C0710,2022Q3,5
C0079,2022Q3,3
C0482,2023Q1,377
C0729,2022Q3,3
C0041,2022Q3,3
C0489,2022Q3,6
C0703,2022Q3,2
C0674,2022Q3,16
C0441,2022Q3,6
C0624,2022Q3,9
C0600,2022Q3,8
C0210,2020Q1,191
C0612,2022Q3,4
C0329,2022Q3,9
C0224,2021Q2,119
C0438,2022Q3,6
C0385,2023Q4,106
C0337,2021Q2,63
C0249,2021Q3,115
C0115,2021Q3,109
C0160,2020Q4,41
C0159,2020Q3,81
C0428,2021Q3,111
C0143,2020Q4,183
C0124,2022Q3,29
C0733,2022Q3,3
C0449,2022Q3,3
C0351,2022Q1,19
C0376,2022Q1,1
C0384,2022Q2,1
C0648,2022Q1,4
C0365,2022Q1,9
C0142,2022Q2,1
C0260,2022Q1,7
C0619,2022Q1,13
C0722,2022Q3,3
C0471,2021Q4,4
C0448,2020Q2,125
C0026,2021Q3,68
C0347,2021Q3,69
C0642,2021Q3,12
C0402,2021Q3,197
C0578,2022Q3,13
C0539,2022Q3,15
C0540,2022Q3,14
C0021,2022Q4,133
C0184,2022Q4,663
C0069,2022Q4,81
C0400,2022Q4,48
C0067,2022Q4,472
C0286,2022Q4,273
C0212,2022Q4,122
C0094,2022Q4,129
C0224,2022Q4,110
C0202,2022Q4,282
C0232,2022Q4,132
C0223,2022Q4,173
C0431,2022Q4,176
C0276,2022Q4,390
C0153,2022Q4,75
C0243,2022Q4,204
C0133,2022Q4,174
C0170,2022Q4,233
C0175,2022Q4,136
C0176,2022Q4,243
C0192,2022Q4,185
C0019,2022Q4,79
C0172,2022Q4,168
C0744,2022Q4,140
C0185,2022Q4,156
C0271,2022Q4,153
C0189,2022Q4,261
C0191,2022Q4,170
C0297,2022Q4,149
C0296,2022Q4,58
C0379,2022Q4,117
C0378,2022Q4,128
C0460,2022Q4,131
C0387,2022Q4,137
C0247,2022Q4,159
C0114,2022Q4,166
C0122,2022Q4,416
C0082,2022Q4,112
C0140,2022Q4,123
C0473,2022Q4,128
C0101,2022Q4,67
C0360,2022Q4,175
C0235,2022Q4,175
C0409,2022Q4,120
C0219,2022Q4,115
C0121,2022Q4,224
C0168,2022Q4,42
C0459,2022Q4,206
C0542,2022Q4,28
C0295,2022Q4,97
C0483,2022Q4,214
C0257,2022Q4,189
C0093,2022Q4,65
C0126,2022Q4,341
C0739,2022Q4,28
C0240,2022Q4,51
C0487,2022Q4,110
C0265,2022Q4,37
C0345,2022Q4,74
C0598,2022Q4,38
C0043,2022Q4,124
C0315,2022Q4,213
C0233,2022Q4,185
C0250,2022Q4,124
C0146,2022Q4,252
C0028,2022Q4,92
C0293,2022Q4,171
C0301,2022Q4,74
C0151,2023Q1,296
C0421,2022Q4,95
C0091,2025Q1,141
C0464,2022Q4,137
C0125,2022Q4,141
C0395,2022Q4,136
C0724,2022Q4,17
C0615,2022Q4,20
C0150,2022Q4,56
C0693,2022Q4,19
C0386,2022Q4,166
C0575,2022Q4,33
C0510,2022Q4,126
C0166,2022Q4,147
C0097,2022Q4,26
C0137,2022Q4,149
C0310,2022Q4,90
C0654,2022Q4,4
C0622,2022Q4,53
C0351,2022Q4,15
C0647,2022Q4,22
C0159,2022Q4,125
C0650,2022Q4,11
C0462,2022Q4,49
C0106,2022Q4,196
C0680,2022Q4,58
C0010,2022Q4,80
C0444,2022Q4,27
C0619,2022Q4,11
C0287,2022Q4,59
C0117,2023Q1,198
C0149,2022Q4,87
C0715,2022Q4,25
C0337,2022Q4,28
C0569,2022Q4,53
C0498,2022Q4,34
C0174,2022Q4,49
C0049,2022Q4,13
C0272,2020Q4,97
C0651,2022Q4,41
C0484,2020Q4,121
C0684,2022Q4,37
C0526,2022Q4,12
C0718,2022Q4,16
C0163,2022Q4,35
C0239,2022Q4,125
C0319,2022Q4,56
C0720,2022Q4,21
C0215,2022Q4,1
C0107,2022Q4,21
C0502,2022Q4,3
C0700,2022Q4,85
C0548,2022Q4,16
C0657,2022Q4,6
C0627,2022Q4,5
C0582,2022Q4,36
C0606,2022Q4,28
C0013,2022Q4,37
C0299,2022Q3,9
C0601,2022Q4,13
C0631,2022Q4,13
C0745,2022Q4,12
C0623,2022Q4,12
C0571,2022Q4,5
C0181,2022Q4,53
C0433,2022Q4,15
C0742,2022Q4,28
C0594,2022Q4,3
C0696,2022Q4,11
C0099,2022Q4,3
C0625,2022Q4,9
C0373,2022Q4,3
C0559,2022Q4,1
C0665,2022Q4,16
C0183,2023Q3,202
C0260,2022Q4,2
C0081,2022Q4,4
C0616,2023Q1,92
C0162,2022Q4,26
C0442,2022Q4,2
C0618,2022Q4,6
C0156,2023Q4,155
C0184,2024Q1,1220
C0416,2020Q4,129
C0050,2023Q4,189
C0333,2023Q4,65
C0549,2022Q4,4
C0479,2022Q4,2
C0309,2020Q4,16
C0261,2022Q4,4
C0491,2022Q4,2
C0365,2022Q4,9
C0157,2022Q4,2
C0134,2023Q1,182
C0382,2023Q1,382
C0417,2023Q1,173
C0537,2023Q1,709
C0430,2023Q1,93
C0383,2023Q1,216
C0154,2023Q1,239
C0209,2023Q1,185
C0113,2023Q1,556
C0245,2023Q1,313
C0626,2023Q1,9
C0475,2023Q1,217
C0560,2023Q1,35
C0226,2023Q1,391
C0530,2023Q1,261
C0128,2023Q1,308
C0075,2023Q1,249
C0277,2023Q1,205
C0317,2023Q1,196
C0259,2023Q1,305
C0070,2023Q1,216
C0323,2023Q1,155
C0435,2023Q1,137
C0391,2023Q1,129
C0251,2023Q1,267
C0440,2023Q1,101
C0104,2023Q1,106
C0033,2023Q1,229
C0270,2023Q1,198
C0167,2023Q1,139
C0481,2023Q1,177
C0358,2023Q1,428
C0194,2023Q1,309
C0183,2023Q1,329
C0439,2023Q1,116
C0521,2023Q1,60
C0304,2023Q1,448
C0031,2023Q1,235
C0227,2023Q1,87
C0589,2023Q1,8
C0334,2023Q1,244
C0076,2023Q1,424
C0200,2023Q1,212
C0332,2023Q1,72
C0412,2023Q1,130
C0188,2023Q1,286
C0685,2023Q1,23
C0407,2023Q1,288
C0448,2023Q1,145
C0389,2023Q1,142
C0236,2023Q1,141
C0237,2023Q1,451
C0141,2023Q1,255
C0044,2023Q1,140
C0723,2023Q1,81
C0268,2023Q1,9
C0398,2023Q1,223
C0165,2023Q1,106
C0375,2023Q1,157
C0324,2023Q1,188
C0018,2023Q1,122
C0385,2023Q1,140
C0034,2023Q1,140
C0443,2023Q1,189
C0584,2023Q1,66
C0336,2023Q1,38
C0213,2023Q1,94
C0633,2023Q1,60
C0563,2023Q1,6
C0306,2023Q1,194
C0686,2023Q1,22
C0156,2023Q1,217
C0532,2023Q1,61
C0372,2023Q1,103
C0533,2023Q1,50
C0052,2023Q1,45
C0614,2023Q1,12
C0714,2023Q1,132
C0005,2023Q1,166
C0328,2023Q1,291
C0205,2023Q1,145
C0228,2023Q1,156
C0509,2023Q1,33
C0346,2023Q1,167
