family,trial,spearman,top20_overlap,max_rank_shift,weight_volume,weight_citation,weight_institutions,weight_persistence,weight_current,weight_multiyear_growth,weight_recent_growth,weight_trend,weight_quarter_consistency,weight_institution_expansion,weight_patents,weight_policies,weight_relative_share,weight_papers
core,167,0.9994255815369351,0.95,13.0,0.41400996321755945,0.21831565886702073,0.15190060892388393,0.13932328536754796,0.07645048362398785,,,,,,,,,
core,168,0.9999508957894826,1.0,5.0,0.3908032208706782,0.19376461056575928,0.15342848239870166,0.1614777667515659,0.10052591941329503,,,,,,,,,
core,169,0.9999683198641972,1.0,6.0,0.40315045768943913,0.1998635392572083,0.15269579630595811,0.13957514066868212,0.10471506607871228,,,,,,,,,
core,170,0.9999384157359683,1.0,7.0,0.36928001265262317,0.20282032559660518,0.14744786400612275,0.16997308331436498,0.11047871443028394,,,,,,,,,
core,171,0.9993242051022329,0.95,18.0,0.3692953018875887,0.22316156961012562,0.15293424155237784,0.14619163343998387,0.10841725350992408,,,,,,,,,
core,172,0.999860127400268,0.95,8.0,0.4398740937164061,0.20633878937886496,0.1418062607930966,0.1309110782300006,0.0810697778816318,,,,,,,,,
core,173,0.9996764786127817,1.0,11.0,0.37056743066134745,0.2136434194432051,0.16067719926809412,0.15632429513681492,0.09878765549053838,,,,,,,,,
core,174,0.9993415331765357,1.0,14.0,0.43474489411512773,0.17523856651106406,0.14315348446753964,0.15503854384908128,0.0918245110571873,,,,,,,,,
core,175,0.9999026555826288,1.0,10.0,0.3687337057522361,0.20515054369433072,0.15664637933527994,0.16822566256450674,0.1012437086536465,,,,,,,,,
core,176,0.9969245308124295,0.95,30.0,0.35634348335883914,0.24918489275688557,0.16745921822185433,0.13834064873740234,0.08867175692501869,,,,,,,,,
core,177,0.9997864470843267,1.0,10.0,0.3865101108620914,0.21503785675584863,0.12409782326197982,0.16384167355694815,0.11051253556313205,,,,,,,,,
