category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
N0441,3,35,14,14,9,3,3,50,72,0.5466493327453504
N0442,56,46,33,23,24,56,56,125,161,0.45703933536683083
N0443,72,36,46,25,29,72,72,146,187,0.35085561425222517
N0444,13,26,20,6,31,13,13,57,89,0.6175617897990997
N0445,32,24,35,28,22,32,32,87,131,0.4777670065894458
N0446,54,24,23,19,10,54,54,99,123,0.2904989296049803
N0447,75,63,59,47,29,75,75,176,236,0.6164578046365491
N0448,15,23,54,28,13,15,15,87,124,0.588756084789458
N0449,22,31,20,29,10,22,22,72,109,0.27873409607562005
N0450,9,0,23,3,9,9,9,32,44,0.44004102234040166
N0451,48,30,47,24,23,48,48,116,161,0.3340710320117555
N0452,49,31,25,30,26,49,49,97,144,0.55320066810545
N0453,65,45,59,25,29,65,65,157,197,0.44341416335974865
N0454,0,0,4,10,26,0,0,4,38,0.5817114421394592
N0455,21,20,46,34,12,21,21,79,118,0.5769388549853898
N0456,40,23,37,43,28,40,40,93,153,0.49577999646539567
N0457,33,26,17,9,21,33,33,73,99,0.5652666734077652
N0458,31,3,19,19,9,31,31,53,79,0.2561363398399887
N0459,40,20,15,32,22,40,40,71,120,0.5671630714778441
N0460,18,28,6,18,10,18,18,49,73,0.39629083539637516
N0461,41,22,16,18,18,41,41,77,111,0.25923235645341597
N0462,40,20,27,44,34,40,40,82,139,0.46858054711986025
N0463,48,78,33,45,61,48,48,147,232,0.5521287005680247
N0464,14,23,13,12,5,14,14,50,67,0.35072821574306084
N0465,10,24,17,25,18,10,10,45,81,0.4647854602761409
N0466,33,32,21,19,16,33,33,85,118,0.26920563345259096
N0467,15,12,10,4,8,15,15,37,49,0.465730935663369
N0468,80,84,47,37,63,80,80,199,283,0.5752040336034927
N0469,36,38,35,32,14,36,36,106,147,0.27916444101541027
N0470,77,49,32,29,30,77,77,156,201,0.5312644783375444
N0471,29,25,30,12,20,29,29,79,108,0.4823888564712947
N0472,28,5,20,9,7,28,28,52,68,0.44981977871276263
N0473,81,82,46,14,11,81,81,203,228,0.3656507038004236
N0474,130,86,73,82,51,130,130,252,343,0.46265755483916954
N0475,3,35,6,20,29,3,3,44,88,0.5197691907812186
N0476,61,41,49,38,24,61,61,142,194,0.475305356331675
N0477,50,36,31,31,13,50,50,113,156,0.30153988615629507
N0478,4,1,9,18,13,4,4,14,44,0.6873682506668326
N0479,35,18,13,12,11,35,35,65,85,0.4591445160163291
N0480,41,115,65,22,30,41,41,206,246,0.6223049390450498
N0481,10,35,33,3,10,10,10,77,90,0.2907474964700576
N0482,21,9,26,25,16,21,21,56,89,0.4851057365689942
N0483,22,50,32,32,39,22,22,102,164,0.6251196278575533
N0484,92,187,72,11,23,92,92,310,330,0.5508074096262543
N0485,18,26,25,19,27,18,18,63,103,0.354508640103525
N0486,26,29,39,26,15,26,26,88,126,0.49588274282624345
N0487,8,15,7,24,14,8,8,30,67,0.500472889498696
N0488,41,74,51,30,10,41,41,159,194,0.41082837775678566
N0489,13,30,7,15,23,13,13,48,78,0.4125936025893439
N0490,26,62,48,15,11,26,26,134,153,0.48964449619703265
N0491,17,16,37,26,24,17,17,69,117,0.3635664503724953
N0492,40,5,26,10,9,40,40,69,87,0.30340918499968533
N0493,78,92,61,25,28,78,78,223,269,0.4382815939053751
N0494,47,27,34,23,21,47,47,93,119,0.35987265478850594
N0495,28,50,14,16,18,28,28,90,123,0.21896936938089426
N0496,44,33,25,4,5,44,44,97,106,0.33231629117037526
N0497,60,35,20,20,21,60,60,110,145,0.4394804283688917
N0498,11,12,9,5,4,11,11,31,40,0.24463264437553536
N0499,37,39,30,22,17,37,37,99,125,0.49900019660189204
N0500,0,26,16,28,20,0,0,42,85,0.45861598799145886
