family,scenario,category_id,name,selected,core_papers,recent_papers,multiyear_share_ratio,share_growth_ratio,historical_peak_ratio,score
emerging,cutoff_2025Q2,C0435,智能电表物联网与用能监测,False,1512,596,1.028921184155798,1.1669595473260437,0.8654647098465894,63.60939907550076
emerging,cutoff_2025Q2,C0443,建筑能效与居民供热用能,False,2672,1092,1.1152623252069434,1.056233908062811,0.994879290843804,69.12172573189522
emerging,cutoff_2025Q2,C0473,二氧化碳地质封存与驱油,True,2936,1333,1.461032531867436,1.254520980020173,1.254520980020173,91.60246533127888
emerging,cutoff_2025Q2,C0533,氮化镓功率与结器件,False,552,224,1.1016813238225476,1.13027385787219,0.8802735315082181,72.99691833590138
emerging,cutoff_2025Q2,C0534,氢能技术经济与生命周期,True,603,291,1.8018650054930587,1.350809235503606,1.350809235503606,95.462249614792
emerging,cutoff_2025Q2,C0542,光伏组件故障与缺陷检测,False,452,191,1.2909466102700449,1.1418208532048613,1.1418208532048613,85.23882896764252
emerging,cutoff_2025Q2,C0556,水系锌离子电池,False,2954,1307,1.4627540533842165,1.154230950596536,1.154230950596536,87.21494607087827
emerging,cutoff_2025Q2,C0566,蒸汽重整制氢与合成气,False,166,49,0.7632102353293038,0.7030673011295805,0.674277345652688,10.546995377503851
emerging,cutoff_2025Q2,C0600,直接空气捕碳,False,233,98,1.4361775771146748,0.994688139993628,0.994688139993628,79.81895223420646
emerging,cutoff_2025Q2,C0665,换热器结构与传热强化,False,308,129,1.1477849992345723,1.1144755442148109,1.0766296919028857,77.13790446841294
emerging,cutoff_2025Q2,C0713,电价预测,False,220,98,1.3333715708039715,1.1867658497855007,1.1867658497855007,84.78813559322033
emerging,cutoff_2025Q2,C0725,废塑料回收与转化,False,302,110,0.9905410137528912,1.0548920045595511,0.8378727249333024,48.65562403697997
core,cutoff_2025Q4,C0060,超级电容器电极与器件,True,8671,3213,0.9453968933120234,0.9006490361290335,0.9006490361290335,98.58243451463792
core,cutoff_2025Q4,C0067,钙钛矿太阳能电池界面与器件性能,True,7942,2965,0.9644528284814776,0.9297956304548172,0.9297956304548172,97.01078582434516
core,cutoff_2025Q4,C0091,等离子体湍流与不稳定性,False,1285,515,1.065409042101102,0.9495464846499538,0.9328745418991304,58.39753466872111
core,cutoff_2025Q4,C0098,建筑与工业冷却节能,False,1660,708,1.1179219297114265,1.1904609683047958,1.0209926596949392,66.64869029275809
core,cutoff_2025Q4,C0122,热电材料与热电性能优化,True,6381,2393,0.9420999083234266,0.9669795080144132,0.9125860866906708,92.10323574730354
core,cutoff_2025Q4,C0155,电解水析氧催化,True,7831,3148,1.105692906530837,1.033061784978324,1.033061784978324,97.91987673343606
core,cutoff_2025Q4,C0169,电池荷电状态健康状态与建模,True,3093,1398,1.3570152598561556,1.1988965363546562,1.1988965363546562,86.90292758089369
core,cutoff_2025Q4,C0186,煤热解气化与煤质特性,False,1798,752,1.0350821416216005,1.1966777582274502,0.8486672231460712,70.77041602465333
core,cutoff_2025Q4,C0191,固态储氢材料与反应器,True,3396,1514,1.3512533683932015,1.1872396502127291,1.1872396502127291,91.44838212634824
core,cutoff_2025Q4,C0210,地热资源开发与换热,False,2169,969,1.274492500949096,1.2716929360010307,1.2707111466873244,72.61941448382126
core,cutoff_2025Q4,C0216,电力可靠性与电气安全,False,1332,542,1.0589326308743303,1.0605301158031355,0.92907497038644,57.14175654853621
core,cutoff_2025Q4,C0245,碳基超级电容器电极,True,3250,1157,0.8614131839128558,0.8951585295389147,0.8147770720737948,91.50231124807398
core,cutoff_2025Q4,C0246,虚拟电厂资源聚合与调度,False,655,301,1.438962880530218,1.2452324598782285,1.2452324598782285,60.639445300462256
core,cutoff_2025Q4,C0251,充电站选址与充电调度,True,3473,1518,1.288445901684618,1.1556582230482038,1.1556582230482038,88.10477657935284
core,cutoff_2025Q4,C0254,电催化析氢与界面调控,True,6438,2561,1.0662218878418113,1.0309823853179847,1.0309823853179847,97.10323574730354
core,cutoff_2025Q4,C0278,整体电催化水分解,True,5198,1951,0.965115609207112,0.9518532774188488,0.9471428597277046,96.86440677966102
core,cutoff_2025Q4,C0294,电池管理与均衡控制,False,355,144,1.0975932900181975,1.126094260502202,0.9452066441444816,42.88906009244992
core,cutoff_2025Q4,C0348,智能电网信息安全与韧性,False,2270,1031,1.3829232599033967,1.1883030482946513,1.1883030482946513,77.43451463790447
core,cutoff_2025Q4,C0381,光伏发电功率预测方法与装置,False,777,373,1.572368282657968,1.23467329386213,1.23467329386213,63.18181818181819
core,cutoff_2025Q4,C0435,智能电表物联网与用能监测,False,1662,749,1.2493465470311544,1.3573451385171282,0.9921445967555974,61.91833590138675
core,cutoff_2025Q4,C0443,建筑能效与居民供热用能,False,2960,1284,1.2264082499649849,1.1397451288902642,1.069181284176199,82.37288135593221
core,cutoff_2025Q4,C0473,二氧化碳地质封存与驱油,True,3344,1516,1.4190792220462471,1.1520997067215375,1.1520997067215375,85.87827426810478
core,cutoff_2025Q4,C0533,氮化镓功率与结器件,False,650,284,1.2430709348696445,1.180683096376299,1.180683096376299,55.793528505392906
core,cutoff_2025Q4,C0534,氢能技术经济与生命周期,False,699,343,1.7431266706332589,1.2507334710291216,1.2507334710291216,67.84283513097073
core,cutoff_2025Q4,C0542,光伏组件故障与缺陷检测,False,518,240,1.4409889260899202,1.2589786180797906,1.2589786180797906,56.845146379044685
core,cutoff_2025Q4,C0556,水系锌离子电池,True,3313,1446,1.365630450377156,1.129819368900289,1.129819368900289,90.346687211094
core,cutoff_2025Q4,C0566,蒸汽重整制氢与合成气,False,181,68,0.9460795760684314,1.0823388440121005,0.828352603870094,39.755392912172574
