category_id,name,domain,status,analysis_scope,admissible_pool,direct_energy,year0_papers,year0_denominator,year0_share,year1_papers,year1_denominator,year1_share,year2_papers,year2_denominator,year2_share,year3_papers,year3_denominator,year3_share,year4_papers,year4_denominator,year4_share,recent_papers,previous_papers,share_growth_ratio,baseline_years_used,baseline_papers,baseline_annual_mean_papers,baseline_mean_share,multiyear_share_ratio,historical_peak_ratio,three_year_log_share_slope,growing_quarters,active_quarters,core_years,core_papers,core_mean_annual_share,core_active_quarters,core_active_years,core_persistence,recent_institutions,core_institutions,baseline_mean_institutions,institution_expansion,citation_cohort_percentile,pooled_baseline_share,pooled_share_ratio,share_ratio_lower95,growth_count_pvalue,growth_count_qvalue,core_score,emerging_score,core_eligible,emerging_eligible,trajectory,end_quarter
C0021,金属离子吸附与材料化学,碳与环境,混杂待重分,质量限制观察,False,False,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
C0022,钠离子电池材料与电解液,电化学储能,宽泛待细分,能源电力直接相关,True,True,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
C0023,功率半导体器件与电路结构,电力电子与电机,宽泛待细分,能源电力直接相关,True,True,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
C0024,海洋资源开发与海上工程,风能与水能海洋能源,宽泛待细分,能源电力直接相关,True,True,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
C0025,通用防护支撑与安装结构混杂簇024,制造与通用装置,混杂待重分,质量限制观察,False,False,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
C0026,硫化镉等硫族薄膜制备,太阳能,方向候选,能源电力直接相关,True,True,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
C0027,变压器与高压开关设备,电网与电力系统,宽泛待细分,能源电力直接相关,True,True,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
C0028,电动汽车充电设施及并网,交通与充电,宽泛待细分,能源电力直接相关,True,True,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
C0029,聚变等离子体诊断,核能与等离子体,方向候选,能源电力直接相关,True,True,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
C0030,碳基电极与多孔材料制备,能源材料与电化学基础,混杂待重分,质量限制观察,False,False,0,54154,9.169432778888298e-06,0,47718,1.039652340257418e-05,0,40261,1.2304360665419824e-05,0,33955,1.4564520827264783e-05,0,30484,1.6202728539486048e-05,0,0,0.8819710612701498,3,0,0.0,1.242180163175293e-05,0.7381725333182875,0.565919052247428,-0.14703914850563482,0,0,3,0,1.0623438948960767e-05,0,0,0.0,0,0,0.0,1.0,0.0,4.088006606218676e-06,2.2430083075060976,0.044503740341638134,0.5,0.6019261637239165,47.75038520801233,58.89830508474576,False,False,近期份额下降,2026Q2
