category_id,volume,citation,institutions,persistence,current
C0212,0.7149460708782742,0.2542372881355932,0.6271186440677966,1.0,0.7303543913713405
C0213,0.5639445300462249,0.22342064714946072,0.5254237288135594,1.0,0.5685670261941448
C0214,0.588597842835131,0.2295839753466872,0.5932203389830508,1.0,0.5808936825885979
C0215,0.0847457627118644,0.50231124807396,0.1016949152542373,0.0,0.09861325115562404
C0216,0.6286594761171033,0.12326656394453005,0.5963020030816641,1.0,0.7103235747303543
C0217,0.6070878274268104,0.5469953775038521,0.6594761171032357,1.0,0.6070878274268104
C0218,0.938366718027735,0.20955315870570107,0.963020030816641,1.0,0.8166409861325116
C0219,0.8089368258859785,0.22650231124807396,0.7781201848998459,1.0,0.9352850539291218
C0220,0.5269645608628659,0.24499229583975346,0.5208012326656395,1.0,0.5192604006163328
C0221,0.9352850539291218,0.7272727272727273,0.8967642526964561,1.0,0.9306625577812019
C0222,0.8181818181818182,0.7719568567026194,0.8567026194144838,1.0,0.7765793528505393
C0223,0.7981510015408321,0.3204930662557781,0.699537750385208,1.0,0.7781201848998459
C0224,0.7164869029275809,0.39599383667180277,0.9167950693374423,1.0,0.7904468412942989
C0225,0.7334360554699538,0.650231124807396,0.8582434514637904,1.0,0.6949152542372882
C0226,0.9645608628659477,0.9414483821263482,0.8983050847457628,1.0,0.9044684129429892
C0227,0.6394453004622496,0.3066255778120185,0.6594761171032357,1.0,0.7195685670261941
C0228,0.7473035439137135,0.13405238828967642,0.7026194144838213,1.0,0.773497688751926
C0229,0.04776579352850539,0.03389830508474576,0.029275808936825885,0.0,0.0662557781201849
C0230,0.6348228043143297,0.29121725731895226,0.6718027734976888,1.0,0.6841294298921418
C0231,0.09553158705701079,0.08320493066255778,0.07087827426810478,0.0,0.1263482280431433
C0232,0.637904468412943,0.5130970724191063,0.7442218798151001,1.0,0.6409861325115562
C0233,0.889060092449923,0.8983050847457628,0.8659476117103235,1.0,0.8782742681047766
