category_id,multiyear_growth,recent_growth,trend,quarter_consistency,institution_expansion
C0624,0.9352850539291218,0.736517719568567,0.889060092449923,0.75,0.9491525423728814
C0625,0.662557781201849,0.6640986132511556,0.7349768875192604,0.75,0.46687211093990755
C0626,0.8412942989214176,0.7827426810477658,0.7010785824345146,1.0,0.8197226502311248
C0627,0.032357473035439135,0.01386748844375963,0.02465331278890601,0.25,0.053929121725731895
C0628,0.7288135593220338,0.4221879815100154,0.9768875192604006,0.5,0.08936825885978428
C0629,0.060092449922958396,0.03543913713405239,0.04160246533127889,0.0,0.28197226502311246
C0630,0.07395993836671803,0.06933744221879815,0.08628659476117104,0.0,0.12018489984591679
C0631,0.6733436055469953,0.337442218798151,0.7842835130970724,0.25,0.6902927580893683
C0632,0.7842835130970724,0.8551617873651772,0.6255778120184899,1.0,0.8366718027734977
C0633,0.6887519260400616,0.6302003081664098,0.588597842835131,0.5,0.5562403697996918
C0634,0.785824345146379,0.785824345146379,0.7134052388289677,0.75,0.8320493066255779
C0635,0.14637904468412943,0.09090909090909091,0.09090909090909091,0.25,0.2773497688751926
C0636,0.6440677966101694,0.5408320493066255,0.4268104776579353,0.75,0.6687211093990755
C0637,0.3189522342064715,0.06471494607087827,0.5639445300462249,0.0,0.8489984591679507
C0638,0.1140215716486903,0.08320493066255778,0.16024653312788906,0.25,0.07704160246533127
C0639,0.3436055469953775,0.975346687211094,0.16024653312788906,0.25,0.06779661016949153
C0640,0.1448382126348228,0.2280431432973806,0.15254237288135594,0.0,0.1617873651771957
C0641,0.020030816640986132,0.01078582434514638,0.15254237288135594,0.0,0.023112480739599383
C0642,0.10323574730354391,0.04930662557781202,0.08782742681047766,0.25,0.09244992295839753
C0643,0.386748844375963,0.8412942989214176,0.08012326656394453,0.5,0.17719568567026195
C0644,0.5315870570107858,0.5285053929121726,0.44838212634822805,0.75,0.31278890600924497
C0645,0.2172573189522342,0.2711864406779661,0.20030816640986132,0.25,0.07550077041602465
C0646,0.08012326656394453,0.10015408320493066,0.05546995377503852,0.25,0.1016949152542373
C0647,0.6147919876733436,0.3790446841294299,0.8921417565485362,0.5,0.5608628659476117
C0648,0.2295839753466872,0.5947611710323575,0.06471494607087827,0.5,0.4915254237288136
C0649,0.9722650231124808,0.975346687211094,0.9506933744221879,0.25,0.1617873651771957
C0650,0.9460708782742681,0.9183359013867488,0.8906009244992296,1.0,0.9275808936825886
C0651,0.22496147919876733,0.11248073959938366,0.23420647149460708,0.0,0.41140215716486905
C0652,0.05546995377503852,0.19568567026194145,0.01694915254237288,0.25,0.5485362095531587
C0653,0.48073959938366717,0.46533127889060094,0.6563944530046225,0.5,0.5793528505392912
C0654,0.8289676425269645,0.7781201848998459,0.9553158705701078,0.75,0.7935285053929122
C0655,0.03697996918335902,0.2280431432973806,0.01386748844375963,0.0,0.06779661016949153
C0656,0.8690292758089369,0.7704160246533128,0.9198767334360555,1.0,0.8936825885978429
C0657,0.3682588597842835,0.25115562403698,0.22342064714946072,0.25,0.2850539291217257
C0658,0.9090909090909091,0.8412942989214176,0.6702619414483821,0.5,0.9845916795069337
C0659,0.9722650231124808,0.975346687211094,0.9506933744221879,0.25,0.9984591679506933
C0660,0.5208012326656395,0.02465331278890601,0.901386748844376,0.25,0.3697996918335901
C0661,0.23882896764252695,0.07550077041602465,0.39599383667180277,0.25,0.514637904468413
C0662,0.18181818181818182,0.5485362095531587,0.0847457627118644,0.5,0.1941448382126348
C0663,0.10939907550077041,0.10631741140215717,0.04930662557781202,0.5,0.7966101694915254
C0664,0.7704160246533128,0.9445300462249615,0.6825885978428351,0.5,0.5778120184899846
C0665,0.8828967642526965,0.8289676425269645,0.8505392912172574,0.75,0.8798151001540832
C0666,0.2033898305084746,0.061633281972265024,0.9722650231124808,0.25,0.8705701078582434
C0667,0.4098613251155624,0.349768875192604,0.39445300462249616,0.25,0.31741140215716485
C0668,0.04314329738058552,0.05546995377503852,0.015408320493066256,0.5,0.020030816640986132
C0669,0.9214175654853621,0.926040061633282,0.699537750385208,0.5,0.6825885978428351
C0670,0.1864406779661017,0.14021571648690292,0.17411402157164868,0.0,0.4930662557781202
C0671,0.514637904468413,0.31587057010785824,0.4869029275808937,0.5,0.5130970724191063
C0672,0.8721109399075501,0.810477657935285,0.8567026194144838,1.0,0.8582434514637904
C0673,0.45454545454545453,0.15562403697996918,0.4946070878274268,0.25,0.3420647149460709
C0674,0.8906009244992296,0.7149460708782742,0.9368258859784283,0.5,0.8289676425269645
C0675,0.8166409861325116,0.6548536209553159,0.7873651771956857,1.0,0.7673343605546995
C0676,0.2896764252696456,0.1679506933744222,0.23728813559322035,0.0,0.37750385208012327
C0677,0.29275808936825887,0.35285053929121724,0.2696456086286595,0.25,0.23112480739599384
C0678,0.14946070878274267,0.07395993836671803,0.11248073959938366,0.0,0.10477657935285054
C0679,0.588597842835131,0.4067796610169492,0.6533127889060092,0.5,0.7842835130970724
C0680,0.37750385208012327,0.3543913713405239,0.3066255778120185,0.25,0.3559322033898305
C0681,0.3020030816640986,0.4745762711864407,0.35285053929121724,0.5,0.13097072419106318
C0682,0.046224961479198766,0.04776579352850539,0.06471494607087827,0.0,0.06779661016949153
C0683,0.6718027734976888,0.19568567026194145,0.7950693374422187,0.5,0.8875192604006163
C0684,0.8489984591679507,0.6949152542372882,0.724191063174114,0.75,0.8967642526964561
C0685,0.2218798151001541,0.2280431432973806,0.4514637904468413,0.25,0.10323574730354391
C0686,0.8628659476117103,0.7919876733436055,0.8782742681047766,1.0,0.8659476117103235
C0687,0.03389830508474576,0.03389830508474576,0.02157164869029276,0.25,0.08012326656394453
C0688,0.17103235747303544,0.2280431432973806,0.18798151001540833,0.5,0.20647149460708783
C0689,0.1263482280431433,0.28043143297380585,0.12018489984591679,0.25,0.12326656394453005
C0690,0.9830508474576272,0.9044684129429892,0.9953775038520801,0.75,0.8721109399075501
C0691,0.1448382126348228,0.2280431432973806,0.15254237288135594,0.0,0.1617873651771957
C0692,0.1448382126348228,0.2280431432973806,0.15254237288135594,0.0,0.1617873651771957
C0693,0.46687211093990755,0.7812018489984591,0.29121725731895226,1.0,0.6594761171032357
C0694,0.7688751926040062,0.7395993836671803,0.6933744221879815,0.5,0.827426810477658
C0695,0.6348228043143297,0.50231124807396,0.5161787365177196,0.75,0.6086286594761171
